start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label
2004,2013,10,10,50-59,-0.6220095419937277,0.5368645011093166,0.5242218938236919,0.5498120088976898,0,108773,7237,TRUE,Unadjusted
2004,2013,10,10,60-69,-0.5468872985066573,0.5787484808266709,0.5668696930199374,0.5908761893315735,0,74281,10336,TRUE,Unadjusted
2004,2013,10,10,70-79,-0.38395015409175365,0.6811653796403586,0.6689233662233466,0.6936314350030847,0,43133,13626,TRUE,Unadjusted
2004,2013,10,10,80-89,-0.1788162553128577,0.8362595435291523,0.8220288972373064,0.8507365452649056,1.1169219391628233e-92,25270,15712,TRUE,Unadjusted
2005,2014,10,10,18-29,-0.3593042687216706,0.6981618902047202,0.6470522013225636,0.7533086572272364,1.9845476619352404e-20,137812,1149,TRUE,Unadjusted
2005,2014,10,10,30-39,-0.5845168165407352,0.5573751111928462,0.5261315740467312,0.5904739990944625,9.139853700991355e-88,116413,1609,TRUE,Unadjusted
2005,2014,10,10,40-49,-0.6445657431312353,0.524890429896624,0.5064118017355903,0.5440433308481881,3.471034629095285e-272,121671,3337,TRUE,Unadjusted
2005,2014,10,10,50-59,-0.6221681762321924,0.5367793427727169,0.5237104482937311,0.5501743640331319,0,113575,6954,TRUE,Unadjusted
2005,2014,10,10,60-69,-0.5585127711538128,0.5720592144733402,0.5599727566351926,0.5844065465439255,0,79242,10001,TRUE,Unadjusted
2005,2014,10,10,70-79,-0.39287496418389733,0.6751131556333849,0.6625264555899187,0.687938978230596,0,45134,12944,TRUE,Unadjusted
2005,2014,10,10,80-89,-0.1882145535633416,0.828436944065149,0.8140111559967602,0.843118383864919,6.605835316261465e-98,26357,15380,TRUE,Unadjusted
1986,1995,10,10,18-29,-0.41529594620305227,0.660144884421006,0.6289033210918379,0.6929384116952142,2.933123360070205e-63,187890,2156,TRUE,Adjusted: Sex
1986,1995,10,10,30-39,-0.5365028017418543,0.584789806325841,0.565314475541446,0.60493607076853,1.305447388928418e-211,178994,3525,TRUE,Adjusted: Sex
1986,1995,10,10,40-49,-0.5338313342894707,0.586354141865311,0.5721654411468334,0.6008946975082575,0,140894,5988,TRUE,Adjusted: Sex
1986,1995,10,10,50-59,-0.49680261256169855,0.6084730769002775,0.5973605783530124,0.6197922975320556,0,99539,10267,TRUE,Adjusted: Sex
1986,1995,10,10,60-69,-0.42672911086268717,0.6526403214580427,0.6441166879450316,0.6612767487080021,0,89561,20809,TRUE,Adjusted: Sex
1986,1995,10,10,70-79,-0.32073360035472387,0.7256165292303642,0.7171638007682637,0.7341688843305878,0,61211,27492,TRUE,Adjusted: Sex
1986,1995,10,10,80-89,-0.18043756118404186,0.8349048095372403,0.8230903840027919,0.846888816266442,6.2277967059040055e-136,23084,16839,TRUE,Adjusted: Sex
1987,1996,10,10,18-29,-0.42065992665470137,0.6566133601467996,0.6249045312335914,0.6899311545592054,2.6776900476251187e-62,185903,2158,TRUE,Adjusted: Sex
1987,1996,10,10,30-39,-0.5375583463446878,0.5841728602663055,0.5642800925364262,0.6047669148450193,4.035603981673533e-203,179211,3527,TRUE,Adjusted: Sex
1987,1996,10,10,40-49,-0.5404282517008199,0.5824987428740079,0.5683283571244965,0.5970224452049863,0,143175,6065,TRUE,Adjusted: Sex
1987,1996,10,10,50-59,-0.4971971983391458,0.6082330294409444,0.5968907732223405,0.6197908138296923,0,99596,10201,TRUE,Adjusted: Sex
1987,1996,10,10,60-69,-0.43649766877656254,0.6462960045448553,0.6376821002221862,0.6550262667638088,0,88722,20451,TRUE,Adjusted: Sex
1987,1996,10,10,70-79,-0.3256745387470232,0.7220401452851872,0.7134682378842508,0.7307150391858565,0,61166,27385,TRUE,Adjusted: Sex
1987,1996,10,10,80-89,-0.1875010385747899,0.8290282571721053,0.8173238870729294,0.8409002380331654,2.716042955228407e-147,23190,16953,TRUE,Adjusted: Sex
1988,1997,10,10,18-29,-0.4251833562746103,0.6536499233266357,0.6211824810314092,0.6878143465274468,3.8733637313086845e-60,178379,2032,TRUE,Adjusted: Sex
1988,1997,10,10,30-39,-0.5516590832838196,0.5759933961992538,0.5561115899837932,0.5965860061913462,4.785877621592647e-208,175460,3449,TRUE,Adjusted: Sex
1988,1997,10,10,40-49,-0.5528794487420603,0.5752909024910704,0.5612510646680364,0.5896819504204294,0,143316,5977,TRUE,Adjusted: Sex
1988,1997,10,10,50-59,-0.5075392783253243,0.6019750508364993,0.5905650671834445,0.6136054805236955,0,98130,9796,TRUE,Adjusted: Sex
1988,1997,10,10,60-69,-0.4439711466106425,0.6414839295458847,0.6327177888690122,0.6503715228256689,0,85134,19435,TRUE,Adjusted: Sex
1988,1997,10,10,70-79,-0.32836762213653214,0.7200982469840572,0.7114131092967908,0.7288894153525987,0,59975,26723,TRUE,Adjusted: Sex
1988,1997,10,10,80-89,-0.18991753174760978,0.8270273346300938,0.8152684739443833,0.8389557968753458,5.891722923692398e-149,23203,17048,TRUE,Adjusted: Sex
