start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label,strat_var,stratum
1993,2002,10,10,40-49,-0.6583269232808122,0.5177167902117459,0.49682181149958093,0.5394905550908546,2.4752219171830726e-215,69189,2255,TRUE,Female,sex,Female
1993,2002,10,10,50-59,-0.5792242038729426,0.5603329020834211,0.5417975588154944,0.5795023547977082,1.119497449808588e-249,47970,3460,TRUE,Female,sex,Female
1993,2002,10,10,60-69,-0.5063779259216296,0.6026745621196861,0.5877757789710092,0.6179509956365014,0,35938,6348,TRUE,Female,sex,Female
1993,2002,10,10,70-79,-0.3487824324920233,0.7055466175917727,0.6918637463919354,0.7195000925994374,5.937081243478667e-267,28740,10840,TRUE,Female,sex,Female
1993,2002,10,10,80-89,-0.20178582752724122,0.8172699459247807,0.8013921123335865,0.833462364094073,2.2631934305194763e-90,14131,9880,TRUE,Female,sex,Female
1994,2003,10,10,18-29,-0.5630529027881541,0.5694678772941683,0.5132079443620925,0.631895251880827,2.7057911159324124e-26,72121,534,TRUE,Female,sex,Female
1994,2003,10,10,30-39,-0.5930640872633675,0.5526313770929712,0.5191925092585123,0.5882238928751773,2.0899683700709334e-77,71847,1136,TRUE,Female,sex,Female
1994,2003,10,10,40-49,-0.6731491192454834,0.5100996810895446,0.4893857445239254,0.5316903640108671,2.835268943240485e-222,67674,2195,TRUE,Female,sex,Female
1994,2003,10,10,50-59,-0.5895469739230197,0.5545784663412865,0.5360598219241588,0.5737368531472713,1.035467948719355e-253,47741,3385,TRUE,Female,sex,Female
1994,2003,10,10,60-69,-0.5106779111262696,0.6000886341298621,0.5846795167582587,0.6159038558566999,5e-324,34338,5911,TRUE,Female,sex,Female
1994,2003,10,10,70-79,-0.35476833434583366,0.7013358998300605,0.687293829814997,0.7156648627601399,5.0520029315336273e-259,27544,10258,TRUE,Female,sex,Female
1994,2003,10,10,80-89,-0.21322527639835867,0.807974099217787,0.7920721750445162,0.8241952761061254,3.91629394076778e-98,14003,9752,TRUE,Female,sex,Female
1995,2004,10,10,18-29,-0.5627675313567817,0.5696304103474743,0.5099806919080682,0.6362570378470803,2.0299321659231342e-23,69407,506,TRUE,Female,sex,Female
