survey,term,covariate,covariate_label,level,reference,year,coefficient,se,ci_lower,ci_upper,n_unweighted
GSS,sexFemale,sex,Sex,Female,Male,2008,-0.03148,0.047201,-0.124077,0.061116,1346
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2008,-0.162057,0.079533,-0.31808,-0.006033,1346
GSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2008,-0.096181,0.077065,-0.247362,0.054999,1346
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2008,-0.047773,0.096003,-0.236106,0.14056,1346
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2008,0.525932,0.077843,0.373225,0.678638,1346
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2008,0.708815,0.083433,0.545142,0.872488,1346
GSS,age,age,Age,age,NA,2010,-0.008671,0.001558,-0.011728,-0.005614,1276
GSS,sexFemale,sex,Sex,Female,Male,2010,-0.052511,0.052052,-0.154627,0.049606,1276
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2010,-0.055954,0.085394,-0.223482,0.111574,1276
GSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2010,-0.238342,0.09747,-0.429562,-0.047123,1276
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2010,-0.230125,0.133697,-0.492417,0.032166,1276
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2010,0.313844,0.087513,0.142158,0.48553,1276
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2010,0.618519,0.093157,0.43576,0.801278,1276
GSS,age,age,Age,age,NA,2012,-0.008839,0.001643,-0.012061,-0.005616,1301
GSS,sexFemale,sex,Sex,Female,Male,2012,-0.049973,0.054266,-0.156432,0.056487,1301
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2012,-0.086013,0.079183,-0.241353,0.069328,1301
GSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2012,-0.017377,0.081055,-0.176391,0.141637,1301
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2012,0.087378,0.146234,-0.199503,0.374259,1301
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2012,0.241178,0.094307,0.056166,0.42619,1301
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2012,0.497594,0.099261,0.302863,0.692325,1301
GSS,age,age,Age,age,NA,2014,-0.007577,0.00132,-0.010166,-0.004988,1703
GSS,sexFemale,sex,Sex,Female,Male,2014,0.051165,0.042842,-0.032864,0.135194,1703
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2014,-0.035369,0.062859,-0.158658,0.08792,1703
GSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2014,-0.003155,0.06521,-0.131055,0.124745,1703
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2014,-0.00682,0.097084,-0.197237,0.183597,1703
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2014,0.531104,0.070241,0.393335,0.668873,1703
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,2014,0.889526,0.075772,0.740909,1.038144,1703
GSS,age,age,Age,age,NA,2016,-0.003472,0.001258,-0.00594,-0.001005,1874
GSS,sexFemale,sex,Sex,Female,Male,2016,-0.007829,0.041922,-0.090048,0.074389,1874
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2016,0.02521,0.057605,-0.087766,0.138187,1874
GSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2016,0.157641,0.067346,0.025559,0.289723,1874
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2016,-0.121141,0.089389,-0.296455,0.054173,1874
