age_group,year,srh_cat,prop,se
50-59,2003,Good,0.321183039747479,0.009754895707665493
50-59,2003,Very Good,0.3456161600369776,0.009291724098298601
50-59,2003,Excellent,0.16424956021711498,0.008570703740832129
50-59,2004,Poor,0.04649068408800293,0.0038330819381773673
50-59,2004,Fair,0.1341497645666961,0.006719232821973343
50-59,2004,Good,0.33370195575715755,0.010779547293585042
50-59,2004,Very Good,0.33908076666361153,0.010774681319708332
50-59,2004,Excellent,0.14657682953165843,0.008137428186905117
50-59,2005,Poor,0.03984267916683157,0.0031206424204708915
50-59,2005,Fair,0.13152215932876402,0.0065967012921558
50-59,2005,Good,0.34715355987645796,0.008737971390972835
50-59,2005,Very Good,0.3423150288337956,0.009567282290908816
50-59,2005,Excellent,0.13916657279467207,0.007555894532410323
50-59,2006,Poor,0.044208479705473785,0.003770416947333637
50-59,2006,Fair,0.13041839017878246,0.006208431214845087
50-59,2006,Good,0.3260245298853613,0.008945673173081883
50-59,2006,Very Good,0.36252086614851786,0.010086990749284024
50-59,2006,Excellent,0.1368277354064061,0.007115255030682602
50-59,2007,Poor,0.03236707797957343,0.003090219651005262
50-59,2007,Fair,0.13830977103299008,0.006698752247693688
50-59,2007,Good,0.3305287497784384,0.009751290806486346
50-59,2007,Very Good,0.3496123498534747,0.010121745514665147
50-59,2007,Excellent,0.14918205195598003,0.008441406065983788
50-59,2008,Poor,0.0349971934713108,0.003575052254480029
50-59,2008,Fair,0.12950145631994658,0.007229903723339978
50-59,2008,Good,0.341086194620651,0.010440995540111866
50-59,2008,Very Good,0.3628027949995426,0.01112424242014109
50-59,2008,Excellent,0.13161236058877562,0.007618884737459676
50-59,2009,Poor,0.0323433718550886,0.0030791505905507647
50-59,2009,Fair,0.1345418575255976,0.006401484577229537
50-59,2009,Good,0.34247401739245553,0.008706260561214017
50-59,2009,Very Good,0.3524264033377363,0.009025315647827855
50-59,2009,Excellent,0.1382143498893172,0.0074093134868107
