srh_cat,year,age_group,prop,se
Very Good,2013,60-69,0.12692449689114346,0.005592783253659507
Very Good,2013,70-79,0.06494788990428715,0.0042434201010275304
Very Good,2013,80-89,0.038968431246494885,0.0034975508429748317
Very Good,2014,18-29,0.23422505114993153,0.006604593451577638
Very Good,2014,30-39,0.183519246602456,0.007461020310326769
Very Good,2014,40-49,0.16824061298409926,0.006363671171761621
Very Good,2014,50-59,0.17000182642548703,0.0060524485053701366
Very Good,2014,60-69,0.13768373290991898,0.005603533528335168
Very Good,2014,70-79,0.06940757352981444,0.004478300429239787
Very Good,2014,80-89,0.03692195642340795,0.0037739452798530035
Very Good,2015,18-29,0.2315259963792314,0.007673020195925567
Very Good,2015,30-39,0.18079697989245672,0.0067813494542157396
Very Good,2015,40-49,0.1614964806069764,0.006641284035066289
Very Good,2015,50-59,0.17451523727260518,0.0070370641648835
Very Good,2015,60-69,0.1405795748966985,0.006789867321529579
Very Good,2015,70-79,0.07623654132426684,0.004881052254388654
Very Good,2015,80-89,0.03484918965339297,0.0035568536778550234
Very Good,2016,18-29,0.21894569429858343,0.007219882041557636
Very Good,2016,30-39,0.18933494747849813,0.0061114226914918855
Very Good,2016,40-49,0.16996400273148554,0.0075878456552346185
Very Good,2016,50-59,0.16617579965386634,0.006391265095839788
Very Good,2016,60-69,0.1443004703106084,0.0061180181875985454
Very Good,2016,70-79,0.07613753011789115,0.004476329519430091
Very Good,2016,80-89,0.03514155546033729,0.002955358853789763
Very Good,2017,18-29,0.2168216799598636,0.007237084392250267
Very Good,2017,30-39,0.19046491546259248,0.006506779414504785
Very Good,2017,40-49,0.17849967466419167,0.006524112907870303
Very Good,2017,50-59,0.1624816758734916,0.005711414965939243
Very Good,2017,60-69,0.13792026677347197,0.00568682201782752
Very Good,2017,70-79,0.08261833499060005,0.004597430835781152
Very Good,2017,80-89,0.031193452608984634,0.0026972018885576656
Very Good,2018,18-29,0.20424661010879805,0.006542896742230269
Very Good,2018,30-39,0.19523469840414445,0.00729831453183503
Very Good,2018,40-49,0.17848597449427758,0.006500419028267423
Very Good,2018,50-59,0.16052448027472802,0.005412620555521668
Very Good,2018,60-69,0.13809621248545273,0.006135369900739036
Very Good,2018,70-79,0.08938455953196321,0.004158832373396668
Very Good,2018,80-89,0.03402746585304179,0.002763262331993774
Very Good,2019,18-29,0.20322193303036634,0.0070945400936031034
Very Good,2019,30-39,0.19657332593807944,0.007262133918613176
Very Good,2019,40-49,0.17278261719255678,0.006031745646176527
Very Good,2019,50-59,0.15898996704429288,0.0056685118453924845
Very Good,2019,60-69,0.14915799429578602,0.005785484720537854
Very Good,2019,70-79,0.08381999299343734,0.003979172319209776
Very Good,2019,80-89,0.035454170015588087,0.00243996043118685
Very Good,2020,18-29,0.20520354479359304,0.008971544580975063
Very Good,2020,30-39,0.193242612593837,0.008794831776863564
Very Good,2020,40-49,0.16865435446850682,0.007631527217452628
Very Good,2020,50-59,0.16030446231634224,0.006188039411634521
Very Good,2020,60-69,0.1466817669908896,0.006022815087115911
Very Good,2020,70-79,0.08991465240137461,0.004180642259655934
Very Good,2020,80-89,0.0359986074586303,0.0027507904474864397
Very Good,2021,18-29,0.19867456846761358,0.008308744603023617
Very Good,2021,30-39,0.19394223510591344,0.008619560031372302
Very Good,2021,40-49,0.17064383719074736,0.007158315303052144
Very Good,2021,50-59,0.15646585229098744,0.006434442407841977
Very Good,2021,60-69,0.15063107082764715,0.0064885013174606045
Very Good,2021,70-79,0.09346050698586272,0.004228912557729026
Very Good,2021,80-89,0.03618193045297356,0.00280301923534391
Very Good,2022,18-29,0.19545494114973405,0.009081639236914282
Very Good,2022,30-39,0.20038572356024933,0.010470087453098577
Very Good,2022,40-49,0.16661516623720357,0.008037556965423229
Very Good,2022,50-59,0.16063801339598505,0.007853174434334118
Very Good,2022,60-69,0.15090620896804888,0.006677380594262742
Very Good,2022,70-79,0.08429967460840614,0.00493287915986092
Very Good,2022,80-89,0.0417002722474723,0.003524108122895355
Very Good,2023,18-29,0.18012516569158932,0.011115725878951753
Very Good,2023,30-39,0.2066370108613012,0.010233605214848984
Very Good,2023,40-49,0.16213946703149473,0.008621239580887383
Very Good,2023,50-59,0.15785857844189657,0.0070468891442959725
Very Good,2023,60-69,0.14845935128637644,0.00661639589047145
