"age","estimate","ci_lower_90","ci_upper_90","model","estimate_centered","ci_lower_centered","ci_upper_centered"
86,2.76909721781105,2.712235136317,2.82683092302173,"M2: Period Smooth",-0.529917074269377,-0.541587426222546,-0.517473053250526
87,2.76257013934726,2.70338682363554,2.82287861585539,"M2: Period Smooth",-0.536444152733166,-0.550435738904012,-0.521425360416863
88,2.75601821100804,2.69413091144164,2.81880539726329,"M2: Period Smooth",-0.542996081072392,-0.559691651097908,-0.52549857900897
89,2.74945385773109,2.68499319514629,2.81495136592154,"M2: Period Smooth",-0.549560434349337,-0.56882936739326,-0.529352610350715
18,3.30557032893831,3.25345084129001,3.3577071226713,"M3: Cohort Smooth",0,0,0
19,3.3055123068085,3.25721196938564,3.35389352802863,"M3: Cohort Smooth",-5.80221298074335e-05,0.003761128095638,-0.00381359464267428
20,3.30529826513041,3.25990576395299,3.35070953019694,"M3: Cohort Smooth",-0.000272063807903233,0.00645492266298131,-0.00699759247436083
21,3.30477218435573,3.26174836728014,3.34799400816615,"M3: Cohort Smooth",-0.00079814458257621,0.00829752599013522,-0.00971311450514811
22,3.3037780449362,3.26205983239748,3.34520050365904,"M3: Cohort Smooth",-0.00179228400211473,0.00860899110746871,-0.0125066190122562
23,3.3021598273235,3.26136169558104,3.34257145260425,"M3: Cohort Smooth",-0.00341050161480805,0.00791085429103555,-0.0151356700670493
24,3.29976151196937,3.25978736815552,3.3396357932212,"M3: Cohort Smooth",-0.00580881696894409,0.00633652686551223,-0.0180713294500987
25,3.2964270793255,3.2569801482777,3.33591791300519,"M3: Cohort Smooth",-0.00914324961281165,0.00352930698769827,-0.0217892096661081
26,3.29200050984361,3.25259184571359,3.33114686941722,"M3: Cohort Smooth",-0.0135698190946991,-0.000858995576418664,-0.026560253254079
27,3.28632578397541,3.24713703948678,3.32489757952226,"M3: Cohort Smooth",-0.0192445449628953,-0.00631380180322871,-0.0328095431490407
28,3.27924688217262,3.24081881069434,3.31729677432691,"M3: Cohort Smooth",-0.026323446765689,-0.0126320305956624,-0.0404103483443912
29,3.27066339600903,3.23345838333932,3.30773888299633,"M3: Cohort Smooth",-0.0349069329292773,-0.0199924579506914,-0.0499682396749748
30,3.26069736154682,3.22431452927982,3.29682343336217,"M3: Cohort Smooth",-0.0448729673914907,-0.0291363120101895,-0.0608836893091262
31,3.24952642597024,3.21392868110632,3.28463762424418,"M3: Cohort Smooth",-0.0560439029680699,-0.0395221601836906,-0.0730694984271181
32,3.23732823646356,3.20252056790054,3.2716378085031,"M3: Cohort Smooth",-0.0682420924747538,-0.0509302733894681,-0.0860693141682045
33,3.22428044021103,3.18963554020431,3.2582200084234,"M3: Cohort Smooth",-0.0812898887272828,-0.063815301085699,-0.0994871142478981
34,3.21056068439691,3.17624637824248,3.24448252498189,"M3: Cohort Smooth",-0.0950096445413959,-0.0772044630475284,-0.113224597689406
35,3.19634661620548,3.16227028756171,3.22985217357617,"M3: Cohort Smooth",-0.109223712732833,-0.0911805537282921,-0.127854949095126
36,3.18181588282097,3.14824063872657,3.21504352781682,"M3: Cohort Smooth",-0.123754446117335,-0.105210202563433,-0.142663594854481
37,3.16711640270841,3.13404760690362,3.19987010743173,"M3: Cohort Smooth",-0.138453926229898,-0.119403234386391,-0.157837015239572
38,3.15227717945576,3.12014501366347,3.18423361976475,"M3: Cohort Smooth",-0.153293149482552,-0.133305827626536,-0.17347350290655
39,3.13729748793173,3.10594801122546,3.16826630838241,"M3: Cohort Smooth",-0.168272841006584,-0.147502830064544,-0.189440814288893
40,3.12217660300503,3.09170800427489,3.15253988911532,"M3: Cohort Smooth",-0.183393725933281,-0.161742837015114,-0.205167233555982
41,3.10691379954438,3.07695135971466,3.13676388683763,"M3: Cohort Smooth",-0.19865652939393,-0.176499481575345,-0.220943235833674
42,3.09150835241849,3.06155770282731,3.12077139677834,"M3: Cohort Smooth",-0.214061976519818,-0.191893138462695,-0.236935725892957
43,3.07595953649608,3.04583625931761,3.10556004288058,"M3: Cohort Smooth",-0.229610792442233,-0.207614581972398,-0.252147079790718
44,3.06026662664585,3.03007326534679,3.08993695885053,"M3: Cohort Smooth",-0.245303702292462,-0.223377575943214,-0.267770163820774
45,3.04442889773652,3.01426989065895,3.07423264397522,"M3: Cohort Smooth",-0.261141431201791,-0.239180950631058,-0.283474478696085
46,3.02846785344628,2.9986927467268,3.0580824015708,"M3: Cohort Smooth",-0.277102475492034,-0.254758094563211,-0.299624721100501
47,3.0124939126912,2.98325697252211,3.04159677278612,"M3: Cohort Smooth",-0.293076416247106,-0.270193868767892,-0.316110349885177
