"cohort","estimate","std_error","ci_lower_90","ci_upper_90","model","type"
1906.04081632653,-0.368920654894416,NA,-0.502495594693764,-0.231257233343275,"M4: Both Smooth","spline"
1908.48979591837,-0.352240741293282,NA,-0.478239159796483,-0.222377830703635,"M4: Both Smooth","spline"
1910.9387755102,-0.332600388515309,NA,-0.451266656387343,-0.209631000395111,"M4: Both Smooth","spline"
1913.38775510204,-0.309703552642814,NA,-0.421435692625344,-0.194105216370658,"M4: Both Smooth","spline"
1915.83673469388,-0.28325418975811,NA,-0.388026667744108,-0.174251327553502,"M4: Both Smooth","spline"
1918.28571428571,-0.252956255943519,NA,-0.350067798359654,-0.151960832157527,"M4: Both Smooth","spline"
1920.73469387755,-0.218528381838265,NA,-0.308538710532829,-0.124646784713123,"M4: Both Smooth","spline"
1923.18367346939,-0.180824573985016,NA,-0.263851357789169,-0.0948339600695527,"M4: Both Smooth","spline"
1925.63265306122,-0.142623379890551,NA,-0.219261382448722,-0.0643589383102228,"M4: Both Smooth","spline"
1928.08163265306,-0.106889768284676,NA,-0.177010027575006,-0.0357633489207103,"M4: Both Smooth","spline"
1930.5306122449,-0.0765887078971872,NA,-0.139628846382448,-0.0123267286214981,"M4: Both Smooth","spline"
1932.97959183673,-0.0545994930377471,NA,-0.109687152344409,0.00178785544779103,"M4: Both Smooth","spline"
1935.42857142857,-0.0404708249330183,NA,-0.0895081101439041,0.00939030853389733,"M4: Both Smooth","spline"
1937.87755102041,-0.0294248465925282,NA,-0.0733580238211489,0.0150470378647549,"M4: Both Smooth","spline"
1940.32653061224,-0.0164005536411462,NA,-0.0539988715785369,0.0216546667285393,"M4: Both Smooth","spline"
1942.77551020408,0,NA,-0.0304148431980886,0.0305520316328147,"M4: Both Smooth","spline"
1945.22448979592,0.0112955349617163,NA,-0.0152105483644647,0.0382188806288197,"M4: Both Smooth","spline"
1947.67346938776,0.00735598288139183,NA,-0.0170373913862112,0.0314329511167153,"M4: Both Smooth","spline"
1950.12244897959,-0.0166521566518254,NA,-0.0392946556529559,0.00546506831030458,"M4: Both Smooth","spline"
1952.57142857143,-0.0339809710184609,NA,-0.059093716361307,-0.00934889189631782,"M4: Both Smooth","spline"
1955.02040816327,-0.0283277050092838,NA,-0.0590064359514062,0.00160268272140796,"M4: Both Smooth","spline"
