survey,cohort_index,cohort_midpoint,n_cells,estimate,ci_lower,ci_upper,se,p_value,rel_to_cbar,in_primary_region
BRFSS,20,2004.5,1,-0.145721458943525,-0.29690210061715505,0.00545918273010501,0.0771329804457296,0.0588619876818557,46.814131597628375,FALSE
MEPS,1,1914.5,1,-0.0569953513313054,-0.10464979416059211,-0.00934090850201867,0.024313491239432,0.0190690802486434,-48.233571388027485,FALSE
MEPS,2,1919.5,2,-0.0455688921286142,-0.07642673816013407,-0.01471104609709433,0.0157437989956734,0.00379899044853641,-43.233571388027485,FALSE
MEPS,3,1924.5,3,-0.0446466022537362,-0.0673404578504935,-0.0219527466569789,0.0115784977534476,1.15276977192146e-4,-38.233571388027485,FALSE
MEPS,4,1929.5,4,-0.0328330039486757,-0.05129547353335915,-0.01437053436399225,0.00941962733912421,4.91090976229795e-4,-33.233571388027485,FALSE
MEPS,5,1934.5,5,0.00113870887132536,-0.01641891597962931,0.01869633372228004,0.00895797186273198,0.898847998096396,-28.233571388027485,FALSE
MEPS,6,1939.5,5,0.0323471044044295,0.01708336318032796,0.04761084562853103,0.00778762307352119,3.27265781935085e-5,-23.233571388027485,TRUE
MEPS,7,1944.5,5,0.0435592487695562,0.03074043423373715,0.05637806330537524,0.00654021149786686,2.7373013730257097e-11,-18.233571388027485,TRUE
MEPS,8,1949.5,5,0.0242164971064136,0.01278306095717899,0.0356499332556482,0.00583338579042582,3.30563044403157e-5,-13.233571388027485,TRUE
MEPS,9,1954.5,5,0.00306037859058982,-0.00770614628781913,0.01382690346899877,0.00549312493796375,0.577439648437314,-8.233571388027485,TRUE
MEPS,10,1959.5,5,0.0123018548358066,0.0016908145805874,0.02291289509102579,0.00541379604858122,0.0230679070040573,-3.2335713880274852,TRUE
MEPS,11,1964.5,5,0.00928352535795563,-0.00139781793716153,0.01996486865307279,0.00544966494648835,0.0884745040741991,1.7664286119725148,TRUE
MEPS,12,1969.5,5,0.00398197758632236,-0.00650935245885308,0.0144733076314978,0.0053527194108038,0.456927234546031,6.766428611972515,TRUE
MEPS,13,1974.5,5,-0.0042262415459576,-0.01490781180257086,0.00645532871065566,0.00544978074317003,0.438051546998583,11.766428611972515,TRUE
MEPS,14,1979.5,5,-0.00791642018821856,-0.01857383042513929,0.00274099004870217,0.00543745420251058,0.145419406933171,16.766428611972515,TRUE
MEPS,15,1984.5,4,-0.00377456742088441,-0.01598633581444341,0.00843720097267459,0.00623049407834643,0.544633580602359,21.766428611972515,TRUE
MEPS,16,1989.5,3,1.98254208598245e-5,-0.01429458531408401,0.01433423615580365,0.00730327078313461,0.997834070587577,26.766428611972515,FALSE
MEPS,17,1994.5,2,-0.0557843407222662,-0.07672356280756218,-0.03484511863697022,0.0106832765741306,1.77413624296353e-7,31.766428611972515,FALSE
MEPS,18,1999.5,1,-0.0487207359311788,-0.08698289667379314,-0.01045857518856446,0.0195215105829665,0.0125696048485331,36.766428611972515,FALSE
NHIS,1,1894.5,1,0.0393138494311381,-0.04013466540409457,0.11876236426637075,0.0405349565485881,0.3321087959647,-61.16164161945926,FALSE
NHIS,2,1899.5,2,-0.0258879520439642,-0.0662973642050111,0.0145214601170827,0.0206170470209423,0.209240254826578,-56.16164161945926,FALSE
