survey,cohort_grid,estimate,ci_lower_90,ci_upper_90,n_bin,birth_year,rel_to_cbar,in_primary_region
GSS,1896,-0.0972251634561141,-0.179884947839051,-0.014932925871653,369,1897.7194370694292,-54.38922727193858,FALSE
GSS,1900,-0.193715282251076,-0.275315427110042,-0.112716252493809,378,1901.7194370694292,-50.38922727193858,FALSE
GSS,1904,-0.149997649012975,-0.214201866583636,-0.086791033357401,846,1905.7194370694292,-46.38922727193858,FALSE
GSS,1908,-0.0692765471065389,-0.13267101543437,-0.00674190272431776,919,1909.7194370694292,-42.38922727193858,FALSE
GSS,1912,-0.066768916720976,-0.122872089033473,-0.0110708944853567,1587,1913.7194370694292,-38.38922727193858,FALSE
GSS,1916,-0.0740694882116257,-0.136629563746249,-0.0113406713874261,837,1917.7194370694292,-34.38922727193858,FALSE
GSS,1920,0.0165125714550038,-0.0354370861174095,0.0688794279977957,2233,1921.7194370694292,-30.38922727193858,TRUE
GSS,1924,0.0712561193923766,0.0176548033237881,0.124338945292825,1664,1925.7194370694292,-26.38922727193858,TRUE
GSS,1928,0.104240707038429,0.0554299099376957,0.154086848554289,2413,1929.7194370694292,-22.38922727193858,TRUE
GSS,1932,0.107133711254483,0.0549253730040489,0.158922725255337,1596,1933.7194370694292,-18.38922727193858,TRUE
GSS,1936,0.150554285244319,0.104747208348556,0.197846511012928,3206,1937.7194370694292,-14.38922727193858,TRUE
GSS,1940,0.153899155855098,0.105536008123848,0.203313319822756,2071,1941.7194370694292,-10.38922727193858,TRUE
GSS,1944,0.201067900646776,0.157337785091251,0.246458399403649,4562,1945.7194370694292,-6.38922727193858,TRUE
GSS,1948,0.150638648994395,0.1057004734313,0.196200483224265,3669,1949.7194370694292,-2.38922727193858,TRUE
GSS,1952,0.12905555162576,0.0856182029658394,0.173429480483098,5564,1953.7194370694292,1.61077272806142,TRUE
GSS,1956,0.119377574868239,0.0741358875991983,0.16471094226535,3667,1957.7194370694292,5.61077272806142,TRUE
GSS,1960,0.102447415941299,0.0568969436513497,0.148738809205351,4747,1961.7194370694292,9.61077272806142,TRUE
GSS,1964,0.0973148628808776,0.046898511111642,0.147243420477711,2276,1965.7194370694292,13.61077272806142,TRUE
GSS,1968,0.0600395027660463,0.0138428545842105,0.108599903191142,3461,1969.7194370694292,17.61077272806142,TRUE
GSS,1972,0.014138100049054,-0.036525420967365,0.0652450191908338,2353,1973.7194370694292,21.61077272806142,TRUE
GSS,1976,0.00815771900221439,-0.0427821167756386,0.0603342647219291,2598,1977.7194370694292,25.61077272806142,TRUE
GSS,1980,0.00589879720162302,-0.0534904143947327,0.0648146987484121,1231,1981.7194370694292,29.61077272806142,TRUE
GSS,1984,-0.0880664876584199,-0.144328097008448,-0.0313225058579638,1832,1985.7194370694292,33.61077272806142,FALSE
GSS,1988,-0.125001638178002,-0.185741172679173,-0.0633379141537801,1172,1989.7194370694292,37.61077272806142,FALSE
GSS,1992,-0.139673631637841,-0.202939316382693,-0.0756779246501916,1036,1993.7194370694292,41.61077272806142,FALSE
GSS,1996,-0.103741037894618,-0.175280835475533,-0.0331420809011613,626,1997.7194370694292,45.61077272806142,FALSE
GSS,2000,-0.139681034146267,-0.224446207869887,-0.0551596295212656,357,2001.7194370694292,49.61077272806142,FALSE
GSS,2004,-0.144648289662352,-0.260315068283851,-0.0318439616340782,118,2005.7194370694292,53.61077272806142,FALSE
