"year","age_group","stratum","mean_srh","n","dataset"
1999,"40-49","NH-White",3.79968276853684,26686,"BRFSS"
1999,"40-49","NH-Black",3.4170553215482,2615,"BRFSS"
1999,"40-49","NH-AIAN",3.2802948974296,496,"BRFSS"
1999,"40-49","NH-Asian/PI",3.82652942922441,534,"BRFSS"
1999,"40-49","Hispanic",3.28531508280009,2529,"BRFSS"
1999,"40-49","Other",3.62885920285136,414,"BRFSS"
1999,"50-59","NH-White",3.61524112500726,20116,"BRFSS"
1999,"50-59","NH-Black",3.13707689659416,1588,"BRFSS"
1999,"50-59","NH-AIAN",3.26311153090232,333,"BRFSS"
1999,"50-59","NH-Asian/PI",3.49382902791287,319,"BRFSS"
1999,"50-59","Hispanic",3.06306880968523,1606,"BRFSS"
1999,"50-59","Other",3.53884956298973,314,"BRFSS"
1999,"60-69","NH-White",3.41435851255376,15163,"BRFSS"
1999,"60-69","NH-Black",2.83609663612081,1163,"BRFSS"
1999,"60-69","NH-AIAN",3.20138026606499,200,"BRFSS"
1999,"60-69","NH-Asian/PI",3.35627293025934,181,"BRFSS"
1999,"60-69","Hispanic",2.86152371436765,1204,"BRFSS"
1999,"60-69","Other",3.04834198946426,208,"BRFSS"
1999,"70-79","NH-White",3.13913525422219,12965,"BRFSS"
1999,"70-79","NH-Black",2.85154842371663,789,"BRFSS"
1999,"70-79","NH-AIAN",2.93250372219742,102,"BRFSS"
1999,"70-79","NH-Asian/PI",3.43922719694078,146,"BRFSS"
1999,"70-79","Hispanic",2.67669964317238,754,"BRFSS"
1999,"70-79","Other",2.97111527854232,185,"BRFSS"
1999,"80-89","NH-White",3.07994739297643,5800,"BRFSS"
1999,"80-89","NH-Black",2.66648696267657,276,"BRFSS"
1999,"80-89","NH-AIAN",2.99449873077972,30,"BRFSS"
1999,"80-89","NH-Asian/PI",3.5741722423508,50,"BRFSS"
1999,"80-89","Hispanic",2.75624528050049,193,"BRFSS"
1999,"80-89","Other",3.10096720897639,110,"BRFSS"
2000,"18-29","NH-White",3.90050905498136,22263,"BRFSS"
2000,"18-29","NH-Black",3.74753672075834,3143,"BRFSS"
2000,"18-29","NH-AIAN",3.68149775167515,709,"BRFSS"
2000,"18-29","NH-Asian/PI",3.84148684798742,1018,"BRFSS"
2000,"18-29","Hispanic",3.4907072194262,4293,"BRFSS"
2000,"18-29","Other",3.67925554534074,601,"BRFSS"
2000,"30-39","NH-White",3.90513848838272,27819,"BRFSS"
2000,"30-39","NH-Black",3.7145034738543,3396,"BRFSS"
2000,"30-39","NH-AIAN",3.60692618029447,810,"BRFSS"
2000,"30-39","NH-Asian/PI",3.94926680999035,1015,"BRFSS"
2000,"30-39","Hispanic",3.36401783790352,4077,"BRFSS"
2000,"30-39","Other",3.63263727148592,545,"BRFSS"
2000,"40-49","NH-White",3.77263278042733,30317,"BRFSS"
2000,"40-49","NH-Black",3.41957241389358,3060,"BRFSS"
2000,"40-49","NH-AIAN",3.23398768824395,755,"BRFSS"
2000,"40-49","NH-Asian/PI",3.73822823920356,885,"BRFSS"
2000,"40-49","Hispanic",3.21442754968226,3068,"BRFSS"
2000,"40-49","Other",3.44362680601536,604,"BRFSS"
2000,"50-59","NH-White",3.57932025149159,23830,"BRFSS"
2000,"50-59","NH-Black",3.11878765200058,2040,"BRFSS"
2000,"50-59","NH-AIAN",3.04310159545877,474,"BRFSS"
2000,"50-59","NH-Asian/PI",3.48155286601025,504,"BRFSS"
2000,"50-59","Hispanic",2.98863810030764,2113,"BRFSS"
2000,"50-59","Other",3.44958946007536,450,"BRFSS"
2000,"60-69","NH-White",3.35408548970684,17045,"BRFSS"
2000,"60-69","NH-Black",2.81791353839642,1350,"BRFSS"
2000,"60-69","NH-AIAN",3.11893853341474,295,"BRFSS"
2000,"60-69","NH-Asian/PI",3.46672210140228,357,"BRFSS"
2000,"60-69","Hispanic",2.80878798303953,1532,"BRFSS"
2000,"60-69","Other",3.1894705353695,269,"BRFSS"
2000,"70-79","NH-White",3.12588717895523,14128,"BRFSS"
2000,"70-79","NH-Black",2.73411390391132,834,"BRFSS"
2000,"70-79","NH-AIAN",2.73058709564994,154,"BRFSS"
2000,"70-79","NH-Asian/PI",3.26777498899832,357,"BRFSS"
2000,"70-79","Hispanic",2.66172072351577,920,"BRFSS"
2000,"70-79","Other",3.01789838657981,207,"BRFSS"
2000,"80-89","NH-White",2.99334774360309,6151,"BRFSS"
2000,"80-89","NH-Black",2.82178108106906,273,"BRFSS"
2000,"80-89","NH-AIAN",2.87211153852862,34,"BRFSS"
2000,"80-89","NH-Asian/PI",3.52320375970076,131,"BRFSS"
2000,"80-89","Hispanic",2.46484071793215,317,"BRFSS"
2000,"80-89","Other",2.83516805515863,111,"BRFSS"
2001,"18-29","NH-White",3.91916634876845,24680,"BRFSS"
2001,"18-29","NH-Black",3.77626813620701,3843,"BRFSS"
2001,"18-29","NH-AIAN",3.70023097735478,716,"BRFSS"
2001,"18-29","NH-Asian/PI",3.83204347747974,1415,"BRFSS"
2001,"18-29","Hispanic",3.5082625849898,4401,"BRFSS"
2001,"18-29","Other",3.89312317995848,688,"BRFSS"
2001,"30-39","NH-White",3.91545366413499,30864,"BRFSS"
2001,"30-39","NH-Black",3.67791802726735,4059,"BRFSS"
2001,"30-39","NH-AIAN",3.4934907456726,767,"BRFSS"
2001,"30-39","NH-Asian/PI",3.86465206173197,1504,"BRFSS"
2001,"30-39","Hispanic",3.35585269416872,4354,"BRFSS"
2001,"30-39","Other",3.78585144195724,721,"BRFSS"
2001,"40-49","NH-White",3.74805922101995,34841,"BRFSS"
2001,"40-49","NH-Black",3.42103876821192,3780,"BRFSS"
2001,"40-49","NH-AIAN",3.15659381560672,769,"BRFSS"
2001,"40-49","NH-Asian/PI",3.58433139953442,1167,"BRFSS"
2001,"40-49","Hispanic",3.18103322604343,3396,"BRFSS"
2001,"40-49","Other",3.6091904941166,763,"BRFSS"
2001,"50-59","NH-White",3.58324989204625,28344,"BRFSS"
