"dataset","year","model","model_name","r_squared","n"
"GSS",1993,2,"srh_sex",0.00107205485348061,1067
"GSS",1993,3,"srh_age_sex",0.0439569429023043,1067
"GSS",1993,4,"srh_age_sex_interaction",0.0443026039977265,1067
"GSS",1994,1,"srh_age",0.0556975078957096,1991
"GSS",1994,2,"srh_sex",1.47126703109457e-06,1991
"GSS",1994,3,"srh_age_sex",0.0557582102981727,1991
"GSS",1994,4,"srh_age_sex_interaction",0.0565906598704246,1991
"GSS",1996,1,"srh_age",0.0314043840937891,2414
"GSS",1996,2,"srh_sex",1.4936718752967e-05,2414
"GSS",1996,3,"srh_age_sex",0.031407212887945,2414
"GSS",1996,4,"srh_age_sex_interaction",0.0314770141968012,2414
"GSS",1998,1,"srh_age",0.0566166108968128,2817
"GSS",1998,2,"srh_sex",0.000531868356187237,2817
"GSS",1998,3,"srh_age_sex",0.057467309719362,2817
"GSS",1998,4,"srh_age_sex_interaction",0.0574682136495884,2817
"GSS",2000,1,"srh_age",0.0591486159439141,2319
"GSS",2000,2,"srh_sex",0.00463070640841856,2319
"GSS",2000,3,"srh_age_sex",0.0620209685556358,2319
"GSS",2000,4,"srh_age_sex_interaction",0.0621268434192533,2319
"GSS",2002,1,"srh_age",0.0278462469936163,1840
"GSS",2002,2,"srh_sex",0.000426143669244206,1840
"GSS",2002,3,"srh_age_sex",0.0287837479142021,1840
"GSS",2002,4,"srh_age_sex_interaction",0.0287963111022072,1840
"GSS",2004,1,"srh_age",0.0259060982057883,1351
"GSS",2004,2,"srh_sex",3.8211935525112e-05,1351
"GSS",2004,3,"srh_age_sex",0.0259090571962862,1351
"GSS",2004,4,"srh_age_sex_interaction",0.0264621579853197,1351
"GSS",2006,1,"srh_age",0.0420627137256331,3504
"GSS",2006,2,"srh_sex",0.00120410891799938,3504
"GSS",2006,3,"srh_age_sex",0.0427440270692601,3504
"GSS",2006,4,"srh_age_sex_interaction",0.0435830875582945,3504
"GSS",2008,1,"srh_age",0.0427413239426918,1347
"GSS",2008,2,"srh_sex",0.000253724032164837,1347
"GSS",2008,3,"srh_age_sex",0.043110416661605,1347
"GSS",2008,4,"srh_age_sex_interaction",0.044281761501837,1347
"GSS",2010,1,"srh_age",0.0243979105262611,1276
"GSS",2010,2,"srh_sex",0.00127941221689198,1276
