"dataset","year","stratum","beta_age","se","p_value","n"
"NHIS",2008,"Female",-0.0175841268090844,0.00059475629721415,1.25392112713696e-185,12260
"NHIS",2009,"Male",-0.0186229965639255,0.000666756966292032,1.74030156104717e-166,12256
"NHIS",2009,"Female",-0.0176947346236017,0.00057064412974127,7.3534343453679e-205,15465
"NHIS",2010,"Male",-0.0169785732784984,0.000624451462998303,5.099177410282e-158,11981
"NHIS",2010,"Female",-0.0153262619617896,0.000540695534847467,2.86253336000207e-172,15160
"NHIS",2011,"Male",-0.0182837097877471,0.000560628427017187,2.32484573809102e-225,14803
"NHIS",2011,"Female",-0.0153287196251895,0.000505069996282268,2.05968496106692e-197,18194
"NHIS",2012,"Male",-0.0168361206677861,0.000592613566444009,4.67663788082757e-173,15269
"NHIS",2012,"Female",-0.0152832770741947,0.000519480294287389,3.93829447410432e-186,19238
"NHIS",2013,"Male",-0.0183161789896615,0.000617748446264732,6.05968328308964e-188,15436
"NHIS",2013,"Female",-0.0163133721408502,0.000518319965817364,5.04653576742055e-212,19106
"NHIS",2014,"Male",-0.0181584389328387,0.000600034788173006,8.39897998337274e-196,16393
"NHIS",2014,"Female",-0.015181106873343,0.00053674573427902,1.22266446456124e-172,20281
"NHIS",2015,"Male",-0.0182315648029276,0.000619738049673195,5.23983242537981e-185,15066
"NHIS",2015,"Female",-0.0147120855667324,0.000560615538846329,4.44624217138627e-149,18595
"NHIS",2016,"Male",-0.0164702157311044,0.000610996287031755,2.50971958020705e-156,14983
"NHIS",2016,"Female",-0.0151770253768126,0.000531875716369633,3.32158286863033e-175,18033
"NHIS",2017,"Male",-0.0178872047974931,0.00061808024758373,4.09652688840079e-178,12091
"NHIS",2017,"Female",-0.0155347764071033,0.000558621244065684,6.64941176078407e-166,14643
"NHIS",2018,"Male",-0.0167160243663796,0.000627191237047478,6.30744077165257e-152,11546
"NHIS",2018,"Female",-0.0162815880882193,0.000573421189313183,1.98337443471685e-172,13862
"NHIS",2019,"Male",-0.0174169633822496,0.000581925977425774,4.13897142827538e-191,14697
"NHIS",2019,"Female",-0.0149694789719628,0.000528702952314034,2.07585210653626e-172,17197
