"dataset","year","stratum","beta_age","se","p_value","n"
"BRFSS",2019,"NH-Black",-0.0161706792023823,0.000541776754256082,4.7079696195489e-193,31433
"BRFSS",2019,"NH-AIAN",-0.0133707761050846,0.00168366538065077,2.33835147293137e-15,6481
"BRFSS",2019,"NH-Asian/PI",-0.00797122483608803,0.00122815089640916,9.00799795068595e-11,9065
"BRFSS",2019,"Hispanic",-0.0174579213513574,0.000649449763974878,1.21639169585385e-157,36864
"BRFSS",2019,"Other",-0.0107717937106775,0.000847228645608629,7.17681930205888e-37,17547
"BRFSS",2020,"NH-White",-0.0117391941053279,0.00019680964537569,0,297894
"BRFSS",2020,"NH-Black",-0.0156257159418531,0.000653033152989838,2.34143509270658e-125,30051
"BRFSS",2020,"NH-AIAN",-0.0138972733341517,0.00201327820779567,5.56145637214828e-12,6772
"BRFSS",2020,"NH-Asian/PI",-0.011051212658042,0.00173088066247407,1.79240903504353e-10,10104
"BRFSS",2020,"Hispanic",-0.0186997652186488,0.00075246267349384,3.18628308937053e-135,37155
"BRFSS",2020,"Other",-0.0139336231496874,0.000996141047509283,3.23166541385694e-44,17299
"BRFSS",2021,"NH-White",-0.0102123530006305,0.000203017333740458,0,312636
"BRFSS",2021,"NH-Black",-0.0154497503729438,0.000598891112874235,3.22186147983157e-145,31091
"BRFSS",2021,"NH-AIAN",-0.015268735684161,0.00153937208370431,4.8964360162902e-23,6979
"BRFSS",2021,"NH-Asian/PI",-0.0101000825167683,0.00155345606875165,8.30174105201588e-11,10546
"BRFSS",2021,"Hispanic",-0.0179742093443353,0.000719052837091444,8.81802998740381e-137,37316
"BRFSS",2021,"Other",-0.0134523618267645,0.00087394764854519,3.92520423469237e-53,18443
"BRFSS",2022,"NH-White",-0.00848921415551477,0.000186946031541068,0,320584
"BRFSS",2022,"NH-Black",-0.014581701295394,0.000608545786705793,7.38743753390131e-126,34722
"BRFSS",2022,"NH-AIAN",-0.0128755989807179,0.00230811819517413,2.52297644234639e-08,6652
"BRFSS",2022,"NH-Asian/PI",-0.00803444159130725,0.00116536890627326,5.66168865744925e-12,13005
"BRFSS",2022,"Hispanic",-0.0160876107247433,0.000656153114630636,8.12345466628976e-132,41793
"BRFSS",2022,"Other",-0.012642193990431,0.000974125937898942,2.53814604742329e-38,16119
"BRFSS",2023,"NH-White",-0.00778569154730195,0.000194731170694172,0,311771
"BRFSS",2023,"NH-Black",-0.0137397829313126,0.000596821804630765,2.47163501996092e-116,32196
"BRFSS",2023,"NH-AIAN",-0.0129766359694314,0.00167418015565525,1.04397837414665e-14,6828
"BRFSS",2023,"NH-Asian/PI",-0.00832594790676528,0.00116827597058998,1.08777439014506e-12,11838
"BRFSS",2023,"Hispanic",-0.0143600366641084,0.000638194008631612,1.81173417357388e-111,42633
"BRFSS",2023,"Other",-0.00865190739442614,0.000957302017640012,1.745994881327e-19,19309
"BRFSS",2024,"NH-White",-0.00742492421879507,0.000190483010647194,0,330810
"BRFSS",2024,"NH-Black",-0.0128053578131479,0.00053880056072526,7.20026738316426e-124,34878
"BRFSS",2024,"NH-AIAN",-0.0090035105952136,0.00222261166051273,5.16404678475199e-05,6303
"BRFSS",2024,"NH-Asian/PI",-0.00843788238766634,0.00120577977240353,2.73128038480547e-12,12530
"BRFSS",2024,"Hispanic",-0.0143008290128726,0.000601578431777684,3.2653231842333e-124,49173
"BRFSS",2024,"Other",-0.00843883507653001,0.000812271709747147,3.21687348536068e-25,20122
"BRFSS",2025,"NH-White",-0.00575615635455894,0.000859109933764285,2.16598009731147e-11,13309
"BRFSS",2025,"NH-Black",-0.0120090266418942,0.00240858617696077,6.98816249717248e-07,1319
"BRFSS",2025,"NH-AIAN",-0.0125519694039812,0.0068691628438323,0.0686458334568763,303
"BRFSS",2025,"NH-Asian/PI",-0.00458945596128375,0.00335645927804296,0.171978165346814,666
"BRFSS",2025,"Hispanic",-0.012847121845842,0.00260001592504829,8.24718989967218e-07,2662
"BRFSS",2025,"Other",-0.0128990578220342,0.00251489039569523,3.5486009000407e-07,925
