"year","age_group","stratum","mean_srh","n","dataset"
2017,"50-59","Male",3.30998727734734,36791,"BRFSS"
2017,"60-69","Female",3.27311379341362,56435,"BRFSS"
2017,"60-69","Male",3.24768899362632,43851,"BRFSS"
2017,"70-79","Female",3.21629767698341,42137,"BRFSS"
2017,"70-79","Male",3.19894089927074,28599,"BRFSS"
2017,"80-89","Female",3.06020855921257,23201,"BRFSS"
2017,"80-89","Male",3.09268072023663,12522,"BRFSS"
2018,"18-29","Female",3.65033042320775,22388,"BRFSS"
2018,"18-29","Male",3.76389016316648,24924,"BRFSS"
2018,"30-39","Female",3.56950924293547,25747,"BRFSS"
2018,"30-39","Male",3.61232600519392,23635,"BRFSS"
2018,"40-49","Female",3.44979281786331,28447,"BRFSS"
2018,"40-49","Male",3.50899387628555,24801,"BRFSS"
2018,"50-59","Female",3.31054120645514,40979,"BRFSS"
2018,"50-59","Male",3.32342542362754,34647,"BRFSS"
2018,"60-69","Female",3.26501361822818,50594,"BRFSS"
2018,"60-69","Male",3.22708099049513,41759,"BRFSS"
2018,"70-79","Female",3.23227305392466,39739,"BRFSS"
2018,"70-79","Male",3.1853142032274,28421,"BRFSS"
2018,"80-89","Female",3.07575358959307,21540,"BRFSS"
2018,"80-89","Male",3.05600634950233,12437,"BRFSS"
2019,"18-29","Female",3.64047313695284,21116,"BRFSS"
2019,"18-29","Male",3.71584822313992,24567,"BRFSS"
2019,"30-39","Female",3.56169680321278,24882,"BRFSS"
2019,"30-39","Male",3.59538843913753,22735,"BRFSS"
2019,"40-49","Female",3.42841120499618,27204,"BRFSS"
2019,"40-49","Male",3.46972025559877,23180,"BRFSS"
2019,"50-59","Female",3.32787771032784,38505,"BRFSS"
2019,"50-59","Male",3.32734451972718,32285,"BRFSS"
2019,"60-69","Female",3.2527679137682,49105,"BRFSS"
2019,"60-69","Male",3.20807621426092,40596,"BRFSS"
2019,"70-79","Female",3.21091481032115,40871,"BRFSS"
2019,"70-79","Male",3.20023938606103,30129,"BRFSS"
2019,"80-89","Female",3.07224945310888,22531,"BRFSS"
2019,"80-89","Male",3.10321280763706,13109,"BRFSS"
2020,"18-29","Female",3.82572775294381,22456,"BRFSS"
2020,"18-29","Male",3.92518715716596,24899,"BRFSS"
2020,"30-39","Female",3.73995609097849,25726,"BRFSS"
2020,"30-39","Male",3.83631242461424,23990,"BRFSS"
2020,"40-49","Female",3.60634665308771,28479,"BRFSS"
2020,"40-49","Male",3.7143345751805,24471,"BRFSS"
2020,"50-59","Female",3.45980031333264,36839,"BRFSS"
2020,"50-59","Male",3.53896124299665,31534,"BRFSS"
2020,"60-69","Female",3.38290278318079,45573,"BRFSS"
2020,"60-69","Male",3.38183116393041,38343,"BRFSS"
2020,"70-79","Female",3.27234581190953,37563,"BRFSS"
2020,"70-79","Male",3.26944479308229,27704,"BRFSS"
2020,"80-89","Female",3.15254156875121,19829,"BRFSS"
2020,"80-89","Male",3.12138245806598,11869,"BRFSS"
2021,"18-29","Female",3.71802879978695,21485,"BRFSS"
2021,"18-29","Male",3.81036099700942,24819,"BRFSS"
2021,"30-39","Female",3.64569941646054,26877,"BRFSS"
2021,"30-39","Male",3.71383935453352,25590,"BRFSS"
